what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1255520159431
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1255520159702
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1255520159822
closed,editor,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1255520159822
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1255520160904
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1255520160904
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1255520162386
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1255520162716
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1255520162726
started,bundle,org.eclipse.pde.core,3.4.0.v20090202,org.eclipse.pde.core,1255520162756
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1255520162786
started,bundle,rightClick,0.7.0,rightClick,1255520164439
started,bundle,org.eclipse.m2m.atl.core,3.0.0.v200906220943,org.eclipse.m2m.atl.core,1255520164439
started,bundle,org.eclipse.m2m.atl.engine.emfvm,3.0.0.v200906220943,org.eclipse.m2m.atl.engine.emfvm,1255520164439
started,bundle,com.cea.papyrus.uml4eastadl.extension,1.9.8,com.cea.papyrus.uml4eastadl.extension,1255520164439
started,bundle,com.cea.papyrus.profiles.standard,1.11.0,com.cea.papyrus.profiles.standard,1255520164449
started,bundle,com.cea.papyrus.uml4sysml.extension,1.2.0,com.cea.papyrus.uml4sysml.extension,1255520164459
started,bundle,org.eclipse.m2m.atl.common,3.0.0.v200906220943,org.eclipse.m2m.atl.common,1255520164869
started,bundle,org.eclipse.emf.ecore.change,2.4.0.v200902171115,org.eclipse.emf.ecore.change,1255520164959
started,bundle,org.eclipse.uml2.common,1.4.0.v200805131030,org.eclipse.uml2.common,1255520165030
started,bundle,org.eclipse.m2m.atl.engine,3.0.0.v200906220943,org.eclipse.m2m.atl.engine,1255520165230
started,bundle,com.cea.papyrus.umlutils,1.11.0,com.cea.papyrus.umlutils,1255520165250
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255520207080
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255520209443
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255520211817
